module_id,id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,combined_text,studycredit_normalized,interests_match_score_normalized,popularity_score_normalized,estimated_difficulty_normalized,available_spots_normalized,cluster
1,159,Kennismaking met Psychologie,"Brein, gedragsbeinvloeding, ontwikkelingspsychologie, gespreksvoering en ontwikkelingsfasen.","In deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. Je maakt kennis met de basistheorie van Psychologie. Aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.","In deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. Je maakt kennis met de basistheorie van Psychologie. Aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie.",15,Den Bosch,58,NLQF5,"A. Je beantwoordt vragen in een meerkeuze kennistoets waarin je laat zien dat je de basis van de psychologie kunt reproduceren en begrijpt. Je laat zien dat je gedrag van individuen en groepen in hun sociale omgeving kunt analyseren aan de hand van casuistiek. B. Je houdt een kort interview met een medestudent waarin je laat zien dat je 1. mbv literatuur ui de psychologie vragen kunt stellen in termen van alledaags gedrag om de beschermende en risicofactoren in kaart te brengen. 2. De communicatievaardigheden bezit om een interiew te houden met een volwassene, inclusief een professionele opening en afsluiting.","['brein', 'gedragsbeinvloeding', 'ontwikkelingspsychologie', 'gespreksvoering', 'en', 'ontwikkelingsfasen']",0.54,319,1,79,2025-12-24,"kennismaking met psychologie brein, gedragsbeinvloeding, ontwikkelingspsychologie, gespreksvoering en ontwikkelingsfasen. in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie. in deze module leer je hoe je gedrag van jezelf en van anderen kunt begrijpen en beinvloeden. je maakt kennis met de basistheorie van psychologie. aan bod komen onderwerpen die te maken hebben met cognitieve, biologische en ontwikkelingspsychologie. ['brein', 'gedragsbeinvloeding', 'ontwikkelingspsychologie', 'gespreksvoering', 'en', 'ontwikkelingsfasen']",0.0,0.37500000000000017,0.6306122448979592,0.0,0.9833333333333334,5
2,160,Learning and working abroad,"Internationaal, persoonlijke ontwikkeling, verpleegkunde","Studenten kiezen binnen de (stam) van de opleiding van Verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. Binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de BIG registratie te behalen. Deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. Zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie? ","Studenten kiezen binnen de (stam) van de opleiding van Verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. Binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de BIG registratie te behalen. Deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. Zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie? ",15,Den Bosch,58,NLQF5,De student toont professioneel gedrag conform de beroepscode bij laagcomplexe zorgvragers en collega's in de zorgsetting. ,"['internationaal', 'persoonlijke', 'ontwikkeling', 'verpleegkunde']",0.92,172,5,56,2025-12-20,"learning and working abroad internationaal, persoonlijke ontwikkeling, verpleegkunde studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?  studenten kiezen binnen de (stam) van de opleiding van verpleegkunde steeds vaker voor een stage in het buitenland, waarbij zij de beroepsprestaties graag in een internationale stagecontext willen behalen. binnen de opleiding verpleegkunde is het nodig om 2300 uren stage te lopen om de big registratie te behalen. deze stage maakt het mogelijk om naast de verplichte stage uren een extra stage ervaring op te doen, waarbij meer focus en ruimte is voor persoonlijke ontwikkeling in de internationale context. zou ook voor een student social work kunnen gelden (internationale stagecontext), fysiotherapie?  ['internationaal', 'persoonlijke', 'ontwikkeling', 'verpleegkunde']",0.0,0.9687500000000002,0.3306122448979592,1.0,0.6000000000000001,1
3,161,Proactieve zorgplanning,"Proactieve zorgplanning, cocreatie, ziekenhuis","Het Jeroen Bosch ziekenhuis wil graag samen met de opleiding Verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. JBZ staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). Proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.","Het Jeroen Bosch ziekenhuis wil graag samen met de opleiding Verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. JBZ staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). Proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen.",15,Den Bosch,59,NLQF5,"De student past pro actieve zorgplanning toe binnen het proces van het klinisch redeneren bij casuïstiek over zorgvragers, multidisciplinair,  in de ziekenhuissetting.","['proactieve', 'zorgplanning', 'cocreatie', 'ziekenhuis']",0.78,217,5,55,2025-09-23,"proactieve zorgplanning proactieve zorgplanning, cocreatie, ziekenhuis het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen. het jeroen bosch ziekenhuis wil graag samen met de opleiding verpleegkunde een module ontwikkelen, waarin de studenten de mogelijkheid krijgen om zich te verdiepen in de ziekenhuissetting. jbz staat er open voor om hier een interdisciplinaire insteek voor te kiezen, zodat deze module bijvoorbeeld ook aantrekkelijk is voor andere opleidingen (denk aan social work). proactieve zorgplanning is een verdiepend thema, waarbij ook kansen liggen om dit interdisciplinair aan te vliegen. ['proactieve', 'zorgplanning', 'cocreatie', 'ziekenhuis']",0.0,0.7500000000000002,0.42244897959183675,1.0,0.5833333333333333,1
4,162,Rouw en verlies,"Rouw & verlies, palliatieve zorg & redeneren, trauma, culturele diversiteit","In deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. Thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. Maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. Vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.","In deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. Thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. Maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. Vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het palliatieve proces uit bij hoog/middencomplexe zorgvragers in de zorgsetting op basis van het proces van palliatief redeneren. De student begrijpt, analyseert en past complexe concepten en benaderingen van rouw en verlies toe in verschillende contexten, op individueel en groepsniveau. Kan interventies ontwerpen en implementeren om de veerkracht en het welzijn van individuen te bevorderen tijdens het rouwproces. De student reflecteert kritisch op eigen waarden en houdingen in relatie tot het begeleiden van anderen bij rouw en verlies. ","['rouw', 'verlies', 'palliatieve', 'zorg', 'redeneren', 'trauma', 'culturele', 'diversiteit']",0.69,454,1,54,2025-10-25,"rouw en verlies rouw & verlies, palliatieve zorg & redeneren, trauma, culturele diversiteit in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie. in deze module wordt stil gestaan bij rouw en verlies, vanuit diverse invalshoeken waaronder de palliatieve zorg. thema's zoals oncologie kunnen hier een plaats krijgen (werkveld verpleegkunde vraagt om keuzemodule oncologie) en kunnen interdisciplinair uitgelicht worden, waarbij duidelijk wordt hoe de verschillende disciplines samen een bijdrage kunnen leveren in de palliatieve benaderingswijze. maar ook vanuit het perspectief van verlies in algemene zin - na scheiding van ouders, vluchten uit je heimat, overlijden, lichamelijke functioneren, vriendschappen/relaties - gericht op volwassenen, maar ook op 0-25 jaar, waarin rouw een betekenis heeft voor de ontwikkeling. vanuit het werkveld (verpleegkunde) ligt er een behoefte aan een module waarin aandacht is voor de zorg rondom oncologie. ['rouw', 'verlies', 'palliatieve', 'zorg', 'redeneren', 'trauma', 'culturele', 'diversiteit']",1.0,0.609375,0.9061224489795919,0.0,0.5666666666666667,6
5,163,Acuut complexe zorg,"Acute zorg, complexiteit, ziekenhuis, revalidatie","In deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.","In deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de actue en complexe zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren. ","['acute', 'zorg', 'complexiteit', 'ziekenhuis', 'revalidatie']",0.4,178,5,38,2025-11-19,"acuut complexe zorg acute zorg, complexiteit, ziekenhuis, revalidatie in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied. in deze module kunnen studenten zich verdiepen in de acuut, complexe zorg binnen het verpleegkundig vakgebied. ['acute', 'zorg', 'complexiteit', 'ziekenhuis', 'revalidatie']",1.0,0.15625000000000006,0.34285714285714286,1.0,0.3,2
6,164,Kraam kind en jeugd,"Jeugdzorg, neonatologie, verloskunde, kindzorg","In deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.","In deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied.",30,Den Bosch,58,NLQF6,"De student regisseert en voert (deels) zelfstandig en in samenwerkingsverband het verpleegkundige proces uit bij hoog/middencomplexe zorgvragers in de kraam, kind en jeugd zorgsetting op basis van de beroepscode van verpleegkundigen en verzorgenden, geldende visie op verplegen en het proces van klinisch redeneren. ","['jeugdzorg', 'neonatologie', 'verloskunde', 'kindzorg']",0.4,493,5,39,2025-12-04,"kraam kind en jeugd jeugdzorg, neonatologie, verloskunde, kindzorg in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied. in deze module kunnen studenten zich verdiepen in de kraam, kind en jeugdzorg binnen het verpleegkundig vakgebied. ['jeugdzorg', 'neonatologie', 'verloskunde', 'kindzorg']",1.0,0.15625000000000006,0.9857142857142858,1.0,0.3166666666666667,2
7,165,"Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg","Jeugdzorg, geestelijke gezondheidzorg, rechtvaardige democratische gemeenschappen ","Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg","Profiel specifieke modulen Welzijn & Samenleving, Jeugd, Zorg",15,Breda en Den Bosch,58,NLQF5,Nader te bepalen,"['jeugdzorg', 'geestelijke', 'gezondheidzorg', 'rechtvaardige', 'democratische', 'gemeenschappen']",0.34,170,5,76,2025-11-14,"profiel specifieke modulen welzijn & samenleving, jeugd, zorg jeugdzorg, geestelijke gezondheidzorg, rechtvaardige democratische gemeenschappen  profiel specifieke modulen welzijn & samenleving, jeugd, zorg profiel specifieke modulen welzijn & samenleving, jeugd, zorg ['jeugdzorg', 'geestelijke', 'gezondheidzorg', 'rechtvaardige', 'democratische', 'gemeenschappen']",0.0,0.06250000000000006,0.326530612244898,1.0,0.9333333333333333,1
8,166,"Happy city, happy people design lab","vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd. Aandacht voor Positieve Gezondheid in de brede betekenis.","focus op de grote vraagstukken (SDG gestuurd) op concrete plekken in onze regio, dat vormt de agenda. Gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking","focus op de grote vraagstukken (SDG gestuurd) op concrete plekken in onze regio, dat vormt de agenda. Gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking",15,Den Bosch,58,NLQF5,Nader te bepalen,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd', 'aandacht', 'voor', 'positieve', 'gezondheid', 'in', 'de', 'brede', 'betekenis']",0.86,77,3,37,2025-12-27,"happy city, happy people design lab vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, sdg gestuurd. aandacht voor positieve gezondheid in de brede betekenis. focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking focus op de grote vraagstukken (sdg gestuurd) op concrete plekken in onze regio, dat vormt de agenda. gezond en duurzaam samenleven, in een veilige omgeving, fysiek toegerust voor een divers samengestelde bevolking ['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd', 'aandacht', 'voor', 'positieve', 'gezondheid', 'in', 'de', 'brede', 'betekenis']",0.0,0.8750000000000002,0.13673469387755105,0.5,0.2833333333333334,0
9,167,Building & Sustaining vital communities,"vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, SDG gestuurd","Je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment","Je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment",30,Den Bosch,58,NLQF6,Nader te bepalen,"['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd']",0.69,298,4,66,2025-09-16,"building & sustaining vital communities vitale gemeenschappen, duurzaam gebouwde omgeving, innovatief, creatief, collectief, sdg gestuurd je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment je bedenkt en ontwerpt samen met relevante stakeholders voor een wijk/ buurt innovatieve oplossingsrichtingen voor een complex vraagstuk rond wonen, veilig leven, gezond leven, bestaansvoorwaarden, ecologische footprint, vanuit beleid & bestuur & welzijn icm built environment ['vitale', 'gemeenschappen', 'duurzaam', 'gebouwde', 'omgeving', 'innovatief', 'creatief', 'collectief', 'sdg', 'gestuurd']",1.0,0.609375,0.5877551020408164,0.75,0.7666666666666668,7
10,168,GGZ Agoog  ,"Herstel en krachtgericht werk, leven met psychische kwetsbaarheid, levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld GGZ en verslavingszorg","Je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld GGZ en verslavingszorg",30,Den Bosch,58,NLQF6,Toetsvormen zijn afgeleide van beroepsprestaties van de GGZ-agoog.,"['herstel', 'en', 'krachtgericht', 'werk', 'leven', 'met', 'psychische', 'kwetsbaarheid', 'levensloop', 'gerichte', 'beschrijvende', 'diagnostiek', 'en', 'begeleiding', 'en', 'ondersteuning']",0.76,407,2,60,2025-09-08,"ggz agoog   herstel en krachtgericht werk, leven met psychische kwetsbaarheid, levensloop gerichte beschrijvende diagnostiek en begeleiding en ondersteuning je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg je bent 'state of the art' in kennis, handelingsrepertoire en methodisch toegerust voor het werkveld ggz en verslavingszorg ['herstel', 'en', 'krachtgericht', 'werk', 'leven', 'met', 'psychische', 'kwetsbaarheid', 'levensloop', 'gerichte', 'beschrijvende', 'diagnostiek', 'en', 'begeleiding', 'en', 'ondersteuning']",1.0,0.7187500000000002,0.8102040816326531,0.25,0.6666666666666667,6
